"Time","Header","half0_0","half0_1","half0_2","half0_3","half1_3","half1_2","half1_1","half1_0","Priority_Index","H_U","Class_Type","Address","Data_Item_Type","Data_Item_Number","Counter","Att"
"3665640969","20844008","0","0","2","0","AA","4","5","0"
"3665640969","00002084408A","0","0","1","1","AA","4","2","0"
"3665640969","00002084410C","0","0","1","0","AA","FF","0","0"
"3665640969","00002084800E","0","0","0","0","AA","18","5","0"
"3665640969","20848080","0","0","0","0","AA","9","5","0"
"3665640969","20848102","0","0","0","1","AA","9","5","0"
"3665640969","20848184","0","0","0","1","AA","4","5","0"
"3665640969","20848206","0","0","0","1","AA","4","5","0"
"3665640969","20940008","0","0","0","0","AA","FF","0","0"
"3665640969","00002094008A","0","2","0","1","AA","18","5","0"
"3665640969","00002094010C","0","0","0","0","AA","FF","0","0"
"3665640969","00002094018E","0","0","0","0","AA","FF","0","0"
"3665640969","20940200","0","2","0","1","AA","18","2","0"
"3665640969","20940282","0","0","0","0","AA","4","2","0"
"3665640969","20944004","0","0","2","0","AA","4","5","0"
"3665640969","20944086","0","0","1","1","AA","4","2","1"
"3665640969","37868088","1","61","6D","B9","0","8","0","8"
"3665640969","00003786810A","1","6C","6D","AE","10","FE","0","6"
"3665640969","20944108","0","0","1","0","AA","FF","0","0"
"3665640969","00002094800A","0","0","0","0","AA","18","5","0"
"3665640969","00002094808C","0","0","0","1","AA","9","5","0"
"3665640969","00002094810E","0","0","0","1","AA","9","5","0"
"3665640969","20948180","0","0","0","0","AA","4","5","0"
"3665640969","20948202","0","0","0","0","AA","4","5","0"
"3665640969","0000208C0008","0","3","0","1","AA","4","5","0"
"3665640969","0000208C008A","0","16","0","1","AA","13","5","0"
"3665640969","0000208C010C","0","0","0","0","AA","FF","0","0"
"3665640969","0000208C018E","0","3","0","0","AA","FF","0","0"
"3665640969","0000208C0200","0","16","0","1","AA","5","2","0"
"3665640969","0000208C0282","0","0","0","0","AA","FF","0","0"
"3665640969","0000208C4004","0","0","2","0","AA","FF","0","0"
"3665640969","0000208C4086","0","0A","1","1","AA","4","2","1"
"3665640969","0000208C4108","0","0","1","0","AA","FF","0","0"
"3665640969","0000208C800A","0","0","0","0","AA","18","5","0"
"3665640969","0000208C808C","0","0","0","1","AA","9","5","0"
"3665640969","0000208C810E","0","0","0","1","AA","9","5","0"
"3665640969","0000208C8180","0","0","0","0","AA","FF","0","0"
"3665640969","0000208C8202","0","0","0","0","AA","FF","0","0"
"3665640969","20920008","0","0","0","0","AA","FF","0","0"
"3665640969","00002092008A","0","6","0","1","AA","5","5","0"
"3665640969","00002092010C","0","0","0","0","AA","FF","0","0"
"3665640969","00002092018E","0","0","0","0","AA","FF","0","0"
"3665640969","20920200","0","6","0","1","AA","5","2","0"
"3665640969","20920282","0","0","0","0","AA","FF","0","0"
"3665640969","20924004","0","0","2","0","AA","4","5","0"
"3665640969","20924086","0","0","1","1","AA","4","2","0"
"3665640969","20924108","0","0","1","0","AA","FF","0","0"
"3665640969","00002092800A","0","0","0","0","AA","18","5","0"
"3665640969","00002092808C","0","0","0","1","AA","9","5","0"
"3665640969","00002092810E","0","0","0","1","AA","9","5","0"
"3665640969","20928180","0","0","0","1","AA","4","5","0"
"3665640969","20928202","0","0","0","0","AA","FF","0","0"
"3665640969","0000208A0008","0","0","0","0","AA","5","5","0"
"3665640969","0000208A008A","0","4","0","1","AA","F9","5","0"
"3665640969","0000208A010C","0","0","0","0","AA","FF","0","0"
"3665640969","0000208A018E","0","0","0","0","AA","5","2","0"
"3665640969","0000208A0200","0","4","0","0","AA","5","2","0"
"3665640969","0000208A0282","0","0","0","0","AA","FF","0","0"
"3665640969","0000208A4004","0","0","2","0","AA","FF","0","0"
"3665640969","0000208A4086","0","0","1","1","AA","4","2","1"
"3665640969","0000208A4108","0","0","1","0","AA","FF","0","0"
"3665640969","0000208A800A","0","0","0","0","AA","18","5","0"
"3665640969","0000208A808C","0","0","0","0","AA","9","5","0"
"3665640969","0000208A810E","0","0","0","1","AA","9","5","0"
"3665640969","0000208A8180","0","0","0","0","AA","FF","0","0"
"3665640969","0000208A8202","0","0","0","0","AA","FF","0","0"
"3665640969","2.09E+10","0","0","0","0","AA","FF","0","0"
"3665640969","0000209E008A","0","0","0","0","AA","FF","0","0"
"3665640969","0000209E010C","0","0","0","0","AA","FF","0","0"
"3665640969","0000209E018E","0","0","0","0","AA","FF","0","0"
"3665640969","2.09E+202","0","0","0","0","AA","FF","0","0"
"3665640969","2.09E+284","0","0","0","0","AA","FF","0","0"
"3665640969","0000209E4004","0","0","2","1","AA","4","5","0"
"3665640969","0000209E4086","0","0","1","1","AA","4","2","1"
"3665640969","0000209E4108","0","0","1","0","AA","FF","0","0"
"3665640969","0000209E800A","0","0","0","0","AA","18","5","0"
"3665640969","0000209E808C","0","0","0","0","AA","9","5","0"
"3665640969","0000209E810E","0","0","0","0","AA","9","5","0"
"3665640969","0000209E8180","0","0","0","0","AA","FF","0","0"
"3665640969","0000209E8202","0","0","0","0","AA","FF","0","0"
"3665640969","0000209C0008","0","0","0","0","AA","5","5","0"
"3665640969","0000209C008A","0","0","0","0","AA","5","5","0"
"3665640969","0000209C010C","0","0","0","0","AA","FF","0","0"
"3665640969","0000209C018E","0","0","0","0","AA","5","2","0"
"3665640969","0000209C0200","0","0","0","0","AA","5","2","0"
"3665640969","0000209C0282","0","0","0","0","AA","FF","0","0"
"3665640969","0000209C4004","0","0","2","0","AA","4","5","0"
"3665640969","0000209C4086","0","0","1","1","AA","4","2","1"
"3665640969","0000209C4108","0","0","1","0","AA","FF","0","0"
"3665640969","0000209C800A","0","0","0","0","AA","18","5","0"
"3665640969","0000209C808C","0","0","0","1","AA","9","5","0"
"3665640969","0000209C810E","0","0","0","1","AA","9","5","0"
"3665640969","0000209C8180","0","0","0","0","AA","4","5","0"
"3665640969","0000209C8202","0","0","0","0","AA","FF","0","0"
"3665640969","0000209A0008","0","6","0","1","AA","5","5","0"
"3665640969","0000209A008A","0","6","0","1","AA","5","5","0"
"3665640969","0000209A010C","0","0","0","0","AA","FF","0","0"
"3665640969","0000209A018E","0","6","0","1","AA","5","2","0"
"3665640969","0000209A0200","0","6","0","1","AA","5","2","0"
"3665640969","0000209A0282","0","0","0","0","AA","FF","0","0"
"3665640969","0000209A4004","0","0","2","0","AA","4","5","0"
"3665640969","0000209A4086","0","0","1","1","AA","4","2","1"
"3665640969","0000209A4108","0","0","1","0","AA","FF","0","0"
"3665640969","0000209A800A","0","0","0","0","AA","18","5","0"
"3665640969","0000209A808C","0","0","0","1","AA","9","5","0"
"3665640969","0000209A810E","0","0","0","1","AA","9","5","0"
"3665640969","0000209A8180","0","0","0","0","AA","4","5","0"
"3665640969","0000209A8202","0","0","0","0","AA","FF","0","0"
"3665640969","20960008","0","6","0","1","AA","5","5","0"
"3665640969","00002096008A","0","0","0","0","AA","5","5","0"
"3665640969","00002096010C","0","0","0","0","AA","FF","0","0"
"3665640969","00002096018E","0","6","0","1","AA","5","2","0"
"3665640969","20960200","0","0","0","0","AA","5","2","0"
"3665640969","20960282","0","0","0","0","AA","FF","0","0"
"3665640969","20964004","0","0","2","0","AA","4","5","0"
"3665640969","20964086","0","0","1","1","AA","4","2","1"
"3665640969","20964108","0","0","1","0","AA","FF","0","0"
"3665640969","00002096800A","0","0","0","0","AA","18","5","0"
"3665640969","00002096808C","0","0","0","0","AA","9","5","0"
"3665640969","00002096810E","0","0","0","1","AA","9","5","0"
"3665640969","20968180","0","0","0","0","AA","4","5","0"
"3665640969","20968202","0","0","0","0","AA","FF","0","0"
"3665640969","2.08E+10","0","0","0","0","AA","FF","0","0"
"3665640969","0000208E008A","0","0","0","0","AA","5","5","0"
"3665640969","0000208E010C","0","0","0","0","AA","FF","0","0"
"3665640969","0000208E018E","0","0","0","0","AA","FF","0","0"
"3665640969","2.08E+202","0","0","0","0","AA","5","2","0"
"3665640969","2.08E+284","0","0","0","0","AA","4","2","0"
"3665640969","0000208E4004","0","0A","2","1","AA","4","5","0"
"3665640969","0000208E4086","0","0","1","1","AA","4","2","1"
"3665640969","0000208E4108","0","0","1","0","AA","FF","0","0"
"3665640969","0000208E800A","0","0","0","0","AA","18","5","0"
"3665640969","0000208E808C","0","0","0","1","AA","9","5","0"
"3665640969","0000208E810E","0","0","0","1","AA","9","5","0"
"3665640969","0000208E8180","0","0","0","0","AA","4","5","0"
"3665640969","0000208E8202","0","0","0","1","AA","4","5","0"
"3665640969","20840008","0","0","0","0","AA","FF","0","0"
"3665640969","00002084008A","0","0","0","0","AA","5","5","0"
